,Query,Answer,Label
10,"Например, о делах, относящихся к кораблестроению, то есть, какие должны они строить корабли?","Но тут я не встал бы, Сократ.",1
11,"О каких же своих делах, говоришь ты,  должны они рассуждать?","О войне, о мире и о других делах общественных, Сократ.",1
12,Искусство же тут не гимнастика ли?,Чему же быть иному?,1
13,"Но попытайся так: кто те богини, чье это искусство?","Ты разумеешь Муз, Сократ?",1
14,"Конечно. Смотри же, как, по их имени, называется это искусство?","Мне кажется, ты говоришь о музыке?",1
15,"Ты хорошо говоришь. Теперь возьми лучшее в войне и в сохранении мира: как ты назовешь это лучшее? Там, говоря о каждом деле, ты признал лучшим —  в одном музыкальность, в другом гимнастичность: постарайся и здесь указать на лучшее.",Но не так-то могу.,1
16,"Вникни же и постарайся сказать, к чему клонится лучшее как в сохранении мира, так и в войне, с кем должно?","Вникаю, но не могу придумать.",1
17,"И ты не знаешь, в чём во время войны мы обвиняем друг друга, что почитаем причиною начатия военных действий и как называем эту причину?","Знаю. Мы находим, что нас обманывают,  притесняют, или лишают чего-нибудь.",1
18,"Постой же; что мы терпим в каждом из этих случаев? Постарайся сказать, что̀ бывает особенного тут или там?","Говоря об особенном тут или там, не разумеешь ли ты, Сократ, справедливости, или несправедливости?",1
19,То-то и есть.,Да этим-то отличается всё вообще.,1
20,"Что ж? против кого идти войной посоветуешь ты Афинянам? против справедливых, или несправедливых.","Труден вопрос! Пусть бы кто и подумал, что  надобно воевать со справедливыми, всё-таки не признался бы в этом.",1
21,"Видно потому, что это незаконно.","Конечно; да кажется, и нехорошо.",1
22,"Заклинаю тебя именем моего и твоего бога дружбы, которым я никогда не клянусь попусту: если у тебя есть такой учитель, скажи мне, кто он.","Но что, если его нет? Нельзя ли тебе предположить, что справедливое и несправедливое я узнал как-нибудь иначе?",1
23,"Можно, если ты сам открыл.","А что не открыл, не представишь?",1
24,"И очень, если искал.","А что искал, не подумаешь?",1
25,"Пожалуй, если бы думал, что не знаешь.","Да разве не было времени, когда я не знал.",1
26,"Тогда-то, разумеется, ты думал, что знаешь.",Откуда же это разумеется?,1
27,"Я часто слыхал, что во время своего детства,  играя в кости, или в какую-нибудь иную игру, в школе и в других местах, ты не сомневался в справедливом и несправедливом, но громко и смело говорил, что такой-то мальчик зол и несправедлив, что он обижает тебя. Не правду ли я говорю?","Да что ж мне было делать, Сократ, когда меня обижали?",1
28,"А спрашивал ли бы ты, что тебе делать, если бы не знал, обижают тебя, или нет?","Но клянусь Зевсом, — я не то что знал, а ясно  сознавал, что меня обижают.",1
29,"Поэтому, быв еще мальчиком, ты уже думал, как видно, что разумеешь справедливое и несправедливое.","Конечно, да и в самом деле разумел.",1
30,"Так в какое время ты думал, что не знаешь? Смотри, ведь такого времени не найдешь.","Да, клянусь Зевсом, Сократ, я не могу указать на него.",1
31,"А сейчас сказал, что и не учился знать. Если же и не открыл и не учился, то как и откуда знаешь?","Но может быть я и неправильно отвечал тебе, что упомянутое знание сам открыл. Это случилось, вероятно, так: должно быть и я научился этому, как другие.",1
32,"Не к отличным же учителям прибегаешь ты, когда ссылаешься на народ.",А что? разве он не в состоянии научить?,1
33,"Значит, не имея возможности научить худшему, он в состоянии преподать лучшее?","Я думаю. Да и действительно, народ в состоянии научить многому, что будет получше шашечной игры.",1
34,.Чему ж это?,"У него, например, научился я говорить по-гречески, и в этом отношении не могу назвать тебе другого учителя, но чувствую себя обязанным тому самому учителю, которого ты не считаешь отличным.",1
35,"Что ж теперь? кажется ли тебе, что в отношении к справедливым и несправедливым людям и поступкам,народ согласен и в целом своем составе, и друг с другом?","Всего менее, Сократ, клянусь Зевсом.",1
36,"Так вероятно ли, что ты знаешь справедливое и несправедливое, когда касательно его находишься в таком заблуждении, и когда, как видно, ты ни у кого не учился этому, и сам не открыл?","Да, судя по твоим словам, невероятно.",1
37,"Что говоришь, судя по моим словам.","Отчего же? разве не твои слова, что я ничего не знаю о справедливом и несправедливом?",1
38,"Ну так скажи мне одним словом: если предлагается вопрос и ответ, то кто говорит, — вопрошающий, или отвечающий?","Мне кажется, Сократ, что отвечающий.",1
39,"Что ж? кто из нас сказал, что было сказано?","Из допущенного видно, Сократ, что я.",1
40,"Стало быть, над нами, Алкивиад, сбылась  Еврипидова поговорка. Ты, видно, слышал это от себя, а не от меня; не я говорил, а ты: меня же напрасно обвиняешь. Впрочем, и хорошо сказано: ведь у тебя в уме, добряк, в самом деле отчаянное предприятие, — учить тому, чего не знаешь и чему не думал учиться.","Но я полагаю, Сократ, что Афиняне и прочие Эллины редко совещаются о том, что справедливо, или  несправедливо, ибо признают это очевидным для всякаго, Оставляя подобные совещания, они исследывают, что полезнее им в делах; потому что справедливое и полезное, по моему мнению, — не одно и то же. Многим и величайшие несправедливости доставляли пользу, а иным и справедливые поступки, думаю, ни к чему не послужили.",1
41,"Что ж? если вовсе иное дело — справедливость, и  иное — польза, то опять не приписываешь ли ты себе знания, что̀ полезно людям, и почему?","А что же мешает, Сократ, если ты снова не спросишь меня, у кого я научился этому, или каким образом открыл сам?",1
42,"Что ты это делаешь? Если слова твои несправедливы, и несправедливость их можно доказать тем же способом, как доказаны прежние; то надобно, думаешь, слышать что-нибудь новое, какие-нибудь иные причины, как будто высшие походят уже на изношенное рубище, которого надевать ты более не хочешь, пока не принесуттебе доказательств чистых, без пятен. Но, оставляя в покое предостерегательную твою оговорку, я всё-таки спросил бы тебя, где учился ты узнавать полезное, и кто твой учитель; я соединил бы все прежние вопросы в один: и ты, очевидно, пришел бы к тому же, ты не был бы в состоянии доказать ни того, что сам открыл полезное, ни того, что научился узнавать его. Но как это тебе уже приелось и ты не с удовольствием принял бы ту же самую речь; то я, пожалуй, оставлю вопрос: знаешь ты, или не знаешь, что полезно Афинянам? Скажи только, сделай милость, справедливое и полезное — точно  ли одно и то же, или не одно. Если угодно, спрашивай меня, как я спрашивал тебя; а не то, раскрой дело сам по себе.","Не знаю, Сократ, мог ли бы я раскрыть это сам по себе.",1
43,Только отвечай на вопросы.,"Нет, говори сам по себе.",1
44,"Отвечай же; а если не дослушаешь самого себя, что справедливое — полезно, другому-то не поверишь.","Конечно нет, — надобно отвечать; вреда, думаю, не будет.",1
45,"А что прекрасно опять, то всегда ли добро? или иногда добро, иногда нет?","Я думаю, Сократ, что иное прекрасное есть зло.",1
46,Следовательно помогать друзьям есть дело прекрасное и злое не по одной и той же причине?,"Явно, что не по одной.",1
47,Но как ты думаешь о мужестве? За какую цену согласился бы ты лишиться его?,"Да лучше не жить согласился бы я, чем быть трусом.",1
48,Следовательно трусость кажется тебе крайним злом.,"По мне, — так.",1
49,"Следовательно, сказав, что содействие друзьям на войне есть дело хоть и прекрасное, однакож злое, ты сказал не более того, что оно хоть и добро, однакож зло.","Твои слова, Сократ, кажется, справедливы.",1
50,"А касательно справедливого, помнишь ли, в чём мы согласились?","Кажется, в том, что поступающие справедливо, по необходимости, поступают прекрасно.",1
51,"Так вот, если бы кто стал советовать — Афинянам ли то, или Пепаритянам, с уверенностью, что он знает справедливое и несправедливое, и начал, бы утверждать, что справедливость иногда бывает делом злым; то не посмеялся ли бы ты над ним, когда держишься той мысли, что справедливое и полезное — одно и то же?","Но, клянусь богами, Сократ, — я и сам не знаю, что говорю. Я просто похожу на помешанного. По поводу твоих вопросов, мне представляется то то, то̀ другое.",1
52,"Но представь, что тебя спрашивают: два у тебя глаза или три, две руки или четыре, и об ином тому подобном? Что будешь ты отвечать? иногда то, иногда другое, или всегда — одно и то же?","Хоть я уже и боюсь за себя, однакож будуотвечать, кажется, одно и то же.",1
53,"Но что? знаешь ли ты, каким образом взойдешь на небо?","Клянусь Зевсом, не знаю.",1
54,"Бедный Алкивиад! как жалко твое состояние! Я не решился бы и назвать его, но так как мы — одни, скажу. Ведь ты находишься в самом постыдном невежестве, мой добрый друг: в этом обличает тебя и твоя речь, и ты сам. Потому-то, стало быть, не выучившись, и скачешь к делам общественным. Впрочем, ты не один страдаешь такою болезнию; между людьми, несущими гражданские обязанности, есть много подобных тебе: исключить должно разве некоторых и, может быть, твоего опекуна Перикла.","Говорят однакож, Сократ, что он не сам собою  сделался мудрым, а обращался со многими мудрецами, — Питоклом и Анаксагором; да и теперь еще, находясь в такой старости, для той же цели беседует с Дамоном.",1
55,"Что ж? можешь ли сказать, что Перикл кого-нибудь,  начиная со своих сыновей, сделал мудрецом?","Но что делать, Сократ, когда сыновья Перикла были глупы?",1
56,"А твоего брата, Клиниаса?","О Клиниасе, этом бешеном человеке, зачем и упоминать.",1
57,"Ну, пусть уж Клиниас — человек бешеный, а сыновья Перикла были глупы: тебя-то по какой причине оставляет он в таком состоянии?","Думаю, я сам виноват; не слушаюсь.",1
58,"Но укажи мне хоть на раба, хоть на свободного —Афинянина или иностранца, который имел бы причину сказать, что, обращаясь с Периклом, он стал мудрее: вот как я, например, укажу тебе на Пифодора Исолохова и Каллиаса Каллиадова, из которых каждый, заплатив Зенону сто мин, сделался и мудрым и знаменитым.","Клянусь Зевсом, что не могу.",1
59,"Пусть так. Что же думаешь ты о себе? Хочешь ли остаться в теперешнем состоянии, или приложить несколько старания?","Посудим вместе, Сократ. Впрочем, я понимаю  твое замечание и согласен с ним. Ведь правители города, исключая немногих, кажутся и мне людьми необразованными.",1
60,Так что же?,"Так если бы они были образованы, то намеревающийся вступить в состязание с ними, конечно, должен бы учиться и упражняться, как бы готовясь против бойцов; а теперь это — люди неученые, и однакож принимают участие в делах гражданских: для чего же упражняться и озабочивать себя наукою? Ведь я уверен, что способностями далеко превзойду их.",1
61,"Ах, что ты сказал, почтеннейший! Это вовсе не достойно ни твоего лица, ни других твоих качеств.","Что же тут особенного и на что метишь ты, Сократ?",1
62,Пусть бы ты предполагал борьбу с домашними.,А то с кем же?,1
63,"И об этом-то может спрашивать человек, думающий о себе так высоко?",Что ты говоришь? разве не с ними будет у меня борьба?,1
64,"Да представь, что ты управляешь хоть гребным судном, имеющим вступить в сражение: довольно ли для тебя быть в управлении лучше всех корабельных твоих соратников? Или может быть ты признал бы делом более нужным смотреть на истинных своих врагов, чем, как теперь, на сподвижников в бое? Надобно то есть до такой степени превосходить их, чтобы они и не думали  состязаться с тобою, но презираемые, стали бы в твои ряды для одоления общего неприятеля, если уж ты в самом деле намерен совершить подвиг прекрасный, достойный тебя и города.","Да, я и намерен-таки.",1
65,"Так куда хорошо — любоваться своим превосходством над воинами, а не смотреть на неприятельских полководцев, чтобы, смотря на них и состязаясь с ними, превзойти их!","Которых же полководцев разумеешь ты,Сократ?",1
66,"Итак, если думаешь быть полководцем своего города; то думая, что тебе надобно бороться с царями лакедемонским и персидским, не правильно ли бы думал ты?","Ты, должно быть, говоришь правду.",1
67,"Так нет, добряк, ты вменяешь себе в обязанность смотреть на воспитывателя перепелов Мидиаса, и  на других подобных ему, которые принимают участие в делах гражданских, сохраняя на душе, сказали бы женщины, рабские волосы, и по необразованности, не снимают их, но с варварским своим наречием выходят — не скажу управлять городом, а льстить ему. Смотря на этих-то описываемых мною людей, предаешься ты нерадению о самом себе, чтобы, приступая к столь важному подвигу, и не учиться тому, что приобретается учением, и не упражняться в том, что требует упражнения, тогда как следовало бы приготовиться всякого рода приготовлением,  чтобы вступить на поприще гражданской службы.","Твои слова, Сократ, кажутся мне хотя и справедливыми, однакож я думаю, что лакедемонские полководцы и персидский царь — не превосходнее других.",1
68,"Во-первых, тогда ли, думаешь, увеличится твоя забота о себе, когда будешь почитать их страшными, или не тогда?","Явно, что когда буду почитать их страшными.",1
69,"А заботясь о себе, чаешь ли получить какой-нибудь вред?","Нисколько; напротив, великую пользу.",1
70,"Рассмотрим же сравнительно их и наше происхождение. Хуже ли, думаешь, поколения лакедемонских и персидских царей? Разве мы не знаем, что первые из них суть потомки Иракла, а последние — Ахемена, и что род Иракла и Ахемена возводят к Персею, сыну Зевсову?","Но ведь и наш идет от Эврисака, Сократ, аЭврисаков — от Зевса.",1
71,"Да и мой — от Дедала, благородный Алкивиад, а Дедалов — от Ифеста, сына Зевсова. Однакож их-то роды, начинаясь ими, восходят до самого Зевса линиею царей, из которых одни всегда управляли Аргосом и Лакедемоном, другие — Персиею, а нередко, как и теперь, Азиею: напротив мы и сами-то люди частные, и отцы  наши. Если бы ты счел нужным указать Артаксерксу, сыну Ксеркса, на своих предков и на Саламин, отечество Эврисака, либо на Эгину, родину Эака жившего еще прежде; то какой, думаешь, поднялся бы смех! Между тем смотри: мы малы нетолько по отношению к важности рода тех мужей, но и по отношению к их воспитанию. Разве не знаешь, сколь важным преимуществом пользуются лакедемонские цари? Их жены, по закону, охраняются эфорами, чтобы царь не был зачат как-нибудь  тайно — от другого, кроме ираклидов. А в Персии он так высок, что никто и не подозревает, будто царственное дитя может родиться от другого рода, кроме царского. Поэтому жена персидского царя охраняется одним страхом. Когда же рождается старший сын, наследник власти, — сперва тут же празднуют все в пределах его царства; потом этот день и в последующие времена, в память царского рождения, становится днем жертвоприношений и празднования для всей Азии: напротив, когда рождаемся мы, Алкивиад, тогда, по комической пословице, и  соседи что-то не очень чуют. После того дитя воспитывается не какою-нибудь ничтожною женщиною-кормилицею, а евнухами, знатнейшими особами, окружающими царя. На них возлагается как всякое попечение о новорожденном, так в особенности заботливость о его красоте, чтобы то есть они развивали и выправляли его члены. Такое занятие доставляет им высокие почести. Достигнув семилетнего  возраста, дети знакомятся с лошадьми, ходят к учителям в верховой езде и начинают охотиться за зверями. А когда минет дитяти четырнадцать лет, — берут его к себе так называемые царские пестуны. Они избираются из Персов и составляют отличнейшую четверицу своего времени: это — самый мудрый, самый справедливый, самый рассудительный исамый мужественный. Самый мудрый учит его магии, начертанной Зороастром Оромазовым: это наука о богопочитании, рассуждающая и о делах царских. Самый справедливый располагает его следовать во всю жизнь истине. Самый рассудительный наставляет его не подчиняться ни одной страсти, чтобы получить навык быть человеком свободным — действительно царем, не рабствуя, но прежде всего господствуя над собою. Самый мужественный развивает в нём чувство безбоязненности и неустрашимости, и доказывает, что, предаваясь трусости, он уже — раб. Напротив  тебе, Алкивиад, Перикл дал в пестуны одного из домашних слуг, Зопира Фракиянина, по причине старости, человека самого бесполезного. Я раскрыл бы пред тобою и другие черты воспитания и образования твоих противников, если бы это дело могло быть непродолжительно, и если бы из сказанного доселе не вытекало всё, что за этим следует. Что же касается до рождения, воспитания и образования тебя, Алкивиад, или всякого другого Афинянина; то это, смею сказать, ни для кого незанимательно, исключая тех людей, которые тебя любят. Взглянешь ли опять на богатство, на пышность, на одежды,  на шлейфы плащей, на разлияние благовоний, на многочисленные свиты прислужников, и на другое довольство Персов, — тебе будет стыдно за самого себя, ты увидишь, как далеко отстал от них. Потом, если захочешь обратить внимание на рассудительность, благонравие, ловкость, ласковость, великодушие, добропорядочность, мужество, терпеливость, трудолюбие, стремление к добродетели и честолюбие Лакедемонян; то во всём этом признаешь себя дитятею. А когда еще остановишься на богатстве, и по богатству будешь придавать себе некоторое  значение; то и тут мы можем сказать, в каком ты найдешь себя состоянии. Пожелай только обозреть лакедемонские богатства, и узнаешь, что здешнее далеко отстало от тамошнего. Никто не будет сомневаться как в обширности, так и в доброте земли, которою они владеют и у себя, и в Мессине; всем известно, какое множество у них рабов, особенно илотов, также лошадей и другого скота на пастбищах мессинских. Но я оставляю всё это, говорю только, что золота и серебра нет столько в целой Элладе, сколько находится его в одном Лакедемоне. В продолжение многих поколений оно стекается туда от всех Эллинов, а нередко и от варваров, выхода же ему никуда не т. Это точно как в Эзоповой басне лисица говорит льву: следы денег, втекающих вЛакедемон, видны, а вытекающих из него никто и нигде не видит. Отсюда легко понять, что тамошние жители золотом и серебром богаче всех Эллинов, особенно же царь их; потому что важнейшие и бо̀льшие из таких доходов назначены царям. Сверх того, не мала и подать, которую Лакедемоняне платят своим государям. Впрочем,  как ни велики богатства Лакедемонян, в сравнении с эллинскими, но в отношении к богатству Персов и их царя, они ничего не значат. Когда-то я слышал от человека достоверного, — от одного из тех, которые сами ездили к царю: он рассказывал, что проезжал чрез обширную и прекрасную область, простирающуюся почти на целый день пути, и что эту область туземцы называют поясом царицы. Есть будто бы и другая, называемая  опять головным покрывалом. Есть и несколько столь же обширных и прекрасных мест, назначенных для украшения царской жены, и каждое из них носит название особого её наряда. Итак я думаю, если бы кто матери царя и жене Ксеркса, Аместрисе, сказал, что с её сыном затевает состязаться сын Димонахи, которой наряд стоит, может быть, много как мин пятьдесят, а у самого сына земли в Эрхии не будет и трех-сот плетров: то она удивилась бы, на какие же средства полагается этот Алкивиад,  затевая вступить в борьбу с Артаксерксом, и кажется, заметила бы что у него быть не может никаких других способов, кроме старания и мудрости; потому что у Греков только это имеет цену. А когда донесли бы ей, что тот же самый Алкивиад решается на такое предприятие, во-первых, не имея от роду и полных двадцати лет, во-вторых нисколько не приготовившись к тому учением, да сверх того, если любящий его человек советует ему наперед учиться, упражняться, трудиться и потом-то уже состязаться с царем, — он не хочет и  утверждает, будто довольно ему быть и таким, каков есть; тогда она, думаю, изумилась бы и спросила: что же бы такое могло быть, на что этот мальчик надеется? и как скоро мы сказали бы ей, что на красоту, знаменитость, происхождение, богатство и способности души; то, видя у своих всё такое, она почла бы нас, Алкивиад, сумасшедшими. Да хоть взять Лампиду, дочь Леонтихида,жену Архидама и мать Агиса (все эти мужи, известно, были царями): ведь и она, видя, как велики способы её родных, удивилась бы, кажется, если бы узнала, что ты, столь худо приготовленный, намереваешься состязаться с её сыном. А не стыдно ли, думаешь, что неприятельские женщины лучше судят о нас, какими нам должно быть, восставая против их граждан, нежели мы — о самих себе? Так поверь, почтеннейший, и мне и дельфийской надписи: «познай самого себя» — что это-то наши противники, а  не те, которых ты представляешь, и что из них ни одного не пересилим мы иначе, как старанием и искусством. Если в этом будет у тебя недостаток, то не сделаться тебе славным между Эллинами и варварами, к чему ты, кажется, стремишься, как никто ни к чему не стремился.","В чём же должно состоять мое старание, Сократ? Можешь ли сказать это? Ведь твои слова более всего походят на правду.",1
